gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
S100A3	0.06760022	0.02209444	0.04081632653061224	0.08637736	0.10947368421052632	1.9621242	5.002514	1
S100A16	0.86671853	0.6478264	0.6428571428571429	0.95704025	0.7052631578947368	0.5629005	7.842826	1
S100A13	0.95300615	0.73679006	0.6989795918367347	1.0422242	0.7936842105263158	0.50028265	7.68629	1
C1orf43	0.5114757	0.71654755	0.7397959183673469	0.42685783	0.48	-0.7471703	9.56161	1
FDPS	0.66208756	0.3576625	0.4336734693877551	0.7877037	0.6821052631578948	1.1388341	19.833733	1
CRABP2	0.63920736	0.8856259	0.7857142857142857	0.53753173	0.5178947368421053	-0.72024196	10.3116255	1
TAGLN2	1.0865335	0.6798117	0.6530612244897959	1.2543584	0.8294736842105264	0.88364524	22.594398	1
GPR161	0.1528932	0.06879384	0.12244897959183673	0.18759534	0.2294736842105263	1.4459459	6.92688	1
ATP1B1	0.6683645	0.87770665	0.7091836734693877	0.58198625	0.5052631578947369	-0.5926702	5.7580323	1
DHX9	0.4089643	0.29023457	0.3877551020408163	0.457956	0.5031578947368421	0.65780765	5.111975	1
C1orf21	0.5492705	0.80217665	0.7551020408163265	0.44491643	0.47368421052631576	-0.85024124	13.013658	1
TNNI1	0.26639348	0.46192303	0.4642857142857143	0.1857087	0.20421052631578948	-1.3141466	7.2448545	1
CSRP1	0.2699284	0.10330928	0.15306122448979592	0.33868	0.36	1.711983	13.825	1
TIMM17A	0.37545705	0.2615473	0.35714285714285715	0.42245913	0.47578947368421054	0.6915299	5.1906853	1
PCAT6	0.09323851	0.20483547	0.2653061224489796	0.047190785	0.06315789473684211	-2.1155386	7.3721366	1
TRAF5	0.22481485	0.1360783	0.21428571428571427	0.26142967	0.30736842105263157	0.9414777	5.1862555	1
ATF3	0.15047555	0.05824908	0.09693877551020408	0.18853123	0.20210526315789473	1.6927868	7.2631736	1
ENAH	0.827938	0.63719857	0.6836734693877551	0.9066429	0.7221052631578947	0.50872415	7.2078843	1
PGBD5	0.03180609	-1.3096724e-10	0.0	0.044930287	0.05052631578947368	8.814754	5.5836887	1
ADI1	0.38170442	0.21352907	0.3163265306122449	0.45109826	0.4884210526315789	1.0786535	10.981266	1
ID2	0.53206545	0.8718156	0.6938775510204082	0.3918761	0.36	-1.1534228	13.846204	1
ASAP2	0.18356195	0.101218686	0.15816326530612246	0.21753955	0.27157894736842103	1.1030405	5.528397	1
RHOB	0.40061352	0.23108746	0.27040816326530615	0.47056505	0.48	1.0256375	8.650674	1
