gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.004	0.002	0.004	0.02
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.103	0.055	0.03	0.465
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.344	0.088	0.143	0.398
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.291	0.029	0.069	0.213
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.004	0.002	0.004	0.02
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS021718DBF	TENM2	0.103	0.055	0.03	0.465
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.344	0.088	0.143	0.398
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0FD44484F	TENM4	0.291	0.029	0.069	0.213
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.003	0.005	0.002	0.044
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS081E1A895	LRFN5	0.042	0.065	0.02	0.291
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	PTN	0.3	0.06	0.073	0.531
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0BA4E3F44	NTN4	0.003	0.001	0.046	0.013
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	NTF3	0.001	0.0	0.0	0.001
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.023	0.0	0.002	0.003
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.023	0.0	0.002	0.003
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0F67B526A	SEMA3C	0.105	0.064	0.08	0.014
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	RSPO2	0.001	0.0	0.0	0.001
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0ACAB1835	RSPO3	0.43	0.013	0.049	0.067
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.001	0.0	0.0	0.001
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.43	0.013	0.049	0.067
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.001	0.0	0.0
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0A932EB77	SLIT2	0.823	0.278	0.111	0.956
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0D0235DCE	SLIT2	0.823	0.278	0.111	0.956
TAC1	P20366	False	TKN1_HUMAN		CPI-SS015B70BF9	TAC1	0.014	0.011	0.02	0.168
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0EC8C81E0	VEGFC	0.032	0.08	0.002	0.026
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0FF2EEAE8	WNT5B	0.204	0.006	0.02	0.008
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0AC302C73	WNT5B	0.204	0.006	0.02	0.008
CD44	P16070	False	CD44_HUMAN		CPI-SS01503DD69	CD44	0.02	0.146	0.023	0.204
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.019	0.868	0.027	0.048
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	PTPRC	0.0	0.0	0.003	0.002
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0F9F83827	PTPRD	1.259	0.141	0.125	0.452
TRH	P20396	False	TRH_HUMAN		CPI-SS00F69C501	TRH	0.523	0.021	0.066	0.042
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TREM2	0.0	0.0	0.0	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0412566F3	TREM2	0.0	0.0	0.0	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TREM2	0.0	0.0	0.0	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC06C75F978	TREM2	0.0	0.0	0.0	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TREM2	0.0	0.0	0.0	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TYROBP	0.0	0.0	0.0	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0412566F3	TYROBP	0.0	0.0	0.0	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TYROBP	0.0	0.0	0.0	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC06C75F978	TYROBP	0.0	0.0	0.0	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TYROBP	0.0	0.0	0.0	0.001
CHRNA7	P36544	True	ACHA7_HUMAN	nAChR_a7_complex	CPI-CC0A4E09DEF	CHRNA7	0.014	0.01	0.003	0.005
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS0322747C2	CEACAM6	0.001	0.0	0.075	0.001
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	SELE	0.0	0.003	0.0	0.003
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.067	0.032	0.077	0.264
