gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
C1orf143	0.016023237	0.016294414	0.017869071476285907	0.0024922378	0.008333333333333333	-2.6609342	5.2571754	1
LYPLAL1-DT	0.0046028774	0.0046951356	0.005177020708082832	-1.0186341e-10	0.0	-5.5835013	7.2677445	1
HLX	0.017712308	0.002942729	0.0028390113560454243	0.754714	0.8333333333333334	7.9546113	33.578667	1
AIDA	0.26210433	0.2553701	0.24866399465597863	0.5981335	0.7583333333333333	1.2275542	14.333118	1
CAPN2	0.14281341	0.13016844	0.1330995323981296	0.77379334	0.825	2.5706472	28.891724	1
TP53BP2	0.3050459	0.30772102	0.2925851703406814	0.17153996	0.275	-0.8427061	5.091383	1
DEGS1	0.4669598	0.46182173	0.41299265197060786	0.72336113	0.8083333333333333	0.64726716	8.02559	1
CNIH4	0.3453673	0.3369443	0.31947227788911153	0.7656845	0.8416666666666667	1.1840003	17.8603	1
WDR26	0.20502621	0.20137264	0.19889779559118237	0.3873285	0.575	0.94334614	5.8929567	1
LBR	0.14517087	0.14058079	0.14195056780227122	0.37420827	0.5416666666666666	1.4118016	8.629104	1
ITPKB	0.029091535	0.024357092	0.024716098864395457	0.26533586	0.425	3.4400384	11.185444	1
CDC42BPA	0.21265624	0.20654592	0.20207080828323312	0.5175548	0.6916666666666667	1.3248296	12.586846	1
GUK1	1.2366949	1.2267078	0.8157982631930528	1.7350689	0.9916666666666667	0.5001668	22.466429	1
OBSCN-AS1	0.0062423847	0.006367499	0.006346025384101536	-1.0186341e-10	0.0	-6.0151377	8.739608	1
AL353593.3	0.0042483658	0.00433352	0.004676018704074816	-1.0186341e-10	0.0	-5.470382	6.6012044	1
AL670729.3	0.0050596576	0.00516107	0.005177020708082832	-1.0186341e-10	0.0	-5.7172856	7.4240403	1
HIST3H2BB	0.0033339388	0.0034007677	0.003674014696058784	-1.0186341e-10	0.0	-5.129601	5.3671775	1
RNF187	0.3548525	0.35095045	0.3306613226452906	0.5495976	0.6833333333333333	0.64696	5.516365	1
FAM89A	0.0143833365	0.008973482	0.00985303941215765	0.2843354	0.4166666666666667	4.9703007	11.804463	1
AL136171.2	0.7705082	0.77759296	0.5217100868403474	0.4170217	0.5083333333333333	-0.8987325	11.030691	1
NID1	0.2333546	0.21961549	0.21175684702738812	0.9189301	0.8333333333333334	2.0644755	24.590088	1
EDARADD	0.003441281	0.0035102607	0.004175016700066801	-1.0186341e-10	0.0	-5.1740327	5.8364673	1
LGALS8	0.18090743	0.17730592	0.1760187040748163	0.3606109	0.5166666666666667	1.0237888	5.3018184	1
ACTN2	0.97233695	0.9812744	0.6928857715430862	0.5263848	0.6416666666666667	-0.89841187	18.949303	1
RYR2	1.1428106	1.154887	0.7635270541082164	0.54024136	0.7083333333333334	-1.0959336	29.645975	1
FMN2	0.0041632387	0.0042466866	0.0045090180360721445	-1.0186341e-10	0.0	-5.4418454	6.4377317	1
GREM2	0.15647602	0.15857588	0.15347361389445557	0.051674142	0.09166666666666666	-1.615779	9.024645	1
AKT3	0.21410316	0.21056172	0.20574482297929192	0.39081198	0.55	0.8919155	5.348559	1
ADSS	0.19362417	0.18986833	0.18670674682698732	0.38102925	0.5666666666666667	1.0045214	6.766202	1
BX323046.1	0.0043006754	0.0043868776	0.004676018704074816	-1.0186341e-10	0.0	-5.4876413	6.4839687	1
KIF26B	0.6749477	0.68022937	0.5487641950567802	0.4114405	0.6166666666666667	-0.72519904	11.806919	1
