gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
NPHS2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL160286.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TDRD5	0.0002539143	0.00026025757	0.0003287310979618672	-7.2759576e-11	0.0	-1.8490298	0.49841037	0
AL359853.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
FAM163A	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL359853.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC02818	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TOR1AIP2	0.47071272	0.47296566	0.4690992767915845	0.38052195	0.4868421052631579	-0.3136817	1.1789633	0
AL353708.3	0.004970487	0.0048498833	0.005917159763313609	0.009797679	0.02631578947368421	0.99969584	0.31734622	0
TOR1AIP1	0.17585586	0.17646517	0.20578566732412887	0.15145002	0.25	-0.22040668	0.3393886	0
AL353708.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL353708.1	0.0020314353	0.0020821844	0.0029585798816568047	-7.2759576e-11	0.0	-4.4477024	2.3809237	0
CEP350	0.39369452	0.39198697	0.41025641025641024	0.4620316	0.5526315789473685	0.23713014	0.66104203	0
AL390718.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
QSOX1	0.19297554	0.1942207	0.2284681130834977	0.14311741	0.19736842105263158	-0.44023266	0.77446747	0
LHX4	0.0037137016	0.0038064795	0.004930966469428008	-7.2759576e-11	0.0	-5.2877984	3.6507995	0
ACBD6	0.3611202	0.36281875	0.38231426692965154	0.29311904	0.3684210526315789	-0.3076678	0.78509015	0
OVAAL	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
XPR1	0.12786874	0.12921302	0.15088757396449703	0.07407053	0.09210526315789473	-0.8019497	1.2667202	0
LINC02816	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
KIAA1614	0.0028212226	0.0028917035	0.0039447731755424065	-7.2759576e-11	0.0	-4.9028964	2.8426366	0
AL162431.1	0.0044203266	0.0045307586	0.004930966469428008	-7.2759576e-11	0.0	-5.533178	3.6194606	0
KIAA1614-AS1	0.0032033182	0.0032833451	0.0046022353714661405	-7.2759576e-11	0.0	-5.0803795	3.4713259	0
STX6	0.37143037	0.3748775	0.39447731755424065	0.23343429	0.32894736842105265	-0.68316966	2.934698	0
MR1	0.0009603351	0.00089355855	0.001643655489809336	0.0036332444	0.013157894736842105	1.9097531	0.34109107	0
IER5	0.22622237	0.22387458	0.24490466798159105	0.32018402	0.47368421052631576	0.5160168	1.4706341	0
LINC01732	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL358393.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01699	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
CACNA1E	0.00046917837	0.0004808997	0.0006574621959237344	-7.2759576e-11	0.0	-2.5382903	0.79844266	0
AL161734.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL161734.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
ZNF648	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL355482.1	0.00092626334	0.00083398196	0.0009861932938856016	0.00462004	0.013157894736842105	2.3373325	0.3789811	0
AL355482.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01344	0.00021109279	0.00021636623	0.0003287310979618672	-7.2759576e-11	0.0	-1.6615967	0.49841064	0
AL390856.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
GLUL	0.30410776	0.3073856	0.32807363576594345	0.17289217	0.2236842105263158	-0.8298121	2.6452646	0
TEDDM1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC00272	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
RGSL1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
RNASEL	0.022852315	0.02325624	0.029585798816568046	0.006685456	0.013157894736842105	-1.7832904	1.6500015	0
RGS16	0.12940092	0.13193025	0.1525312294543064	0.028169652	0.039473684210526314	-2.2235425	6.872499	1
LINC01686	0.0018619994	0.0019085152	0.0023011176857330702	-7.2759576e-11	0.0	-4.3280587	2.0619168	0
RGS8	0.00030699596	0.0003146654	0.0003287310979618672	-7.2759576e-11	0.0	-2.0519488	0.49841398	0
LINC01688	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
NPL	0.03812301	0.03839902	0.04799474030243261	0.027076283	0.05263157894736842	-0.50247353	0.36435783	0
AL355999.1	0.0024707965	0.0025325222	0.003287310979618672	-7.2759576e-11	0.0	-4.718375	2.4036486	0
DHX9	0.4189382	0.42275554	0.4421433267587114	0.26612827	0.35526315789473684	-0.66750115	2.934077	0
SHCBP1L	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LAMC1	1.3217682	1.3336463	0.886259040105194	0.84636545	0.7631578947368421	-0.6559611	8.383599	1
LAMC1-AS1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LAMC2	0.00990919	0.010156778	0.011834319526627219	-7.2759576e-11	0.0	-6.6804347	7.905529	1
NMNAT2	0.0099558	0.009872349	0.012491781722550954	0.013296839	0.02631578947368421	0.42588744	0.14191508	0
AL354953.1	0.00045238	0.00046368164	0.0006574621959237344	-7.2759576e-11	0.0	-2.4948816	0.7804331	0
AL449223.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
SMG7-AS1	0.00041535473	0.00042573136	0.0006574621959237344	-7.2759576e-11	0.0	-2.394327	0.7848956	0
SMG7	0.22774582	0.22812006	0.2583826429980276	0.2127525	0.3026315789473684	-0.10057153	0.14627221	0
NCF2	0.0022129416	0.0022682254	0.0029585798816568047	-7.2759576e-11	0.0	-4.565736	2.4285803	0
