gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
PKIB	0.20832127	0.22133698	0.24227481919789612	0.112433285	0.13559322033898305	-0.97654444	9.660096	1
SMPDL3A	0.13694894	0.14459266	0.168310322156476	0.08065536	0.10411622276029056	-0.8413618	5.5410175	1
CLVS2	0.005078083	0.005767625	0.008875739644970414	3.0559022e-10	0.0	-5.8747005	5.8320856	1
TRDN	0.074669845	0.0810614	0.09960552268244575	0.02758917	0.026634382566585957	-1.551472	7.0331025	1
RNF217	0.14355725	0.12965713	0.15154503616042078	0.24594563	0.2687651331719128	0.923112	6.711106	1
AL450332.1	0.012269223	0.013696871	0.01972386587771203	0.0017545313	0.002421307506053269	-2.8952146	5.5263486	1
PTPRK	0.1584483	0.17140038	0.19789612097304404	0.063027605	0.07506053268765134	-1.4418688	14.75175	1
ARHGAP18	0.92276174	0.9662251	0.7271531886916502	0.6026757	0.5205811138014528	-0.68088746	23.272404	1
CCN2	0.20845097	0.2218869	0.21926364234056542	0.10946703	0.1016949152542373	-1.0186608	7.8703527	1
LINC01013	0.0054381588	0.0061765867	0.007889546351084813	3.0559022e-10	0.0	-5.971904	5.6196623	1
TCF21	0.011183622	0.012702088	0.01643655489809336	3.0559022e-10	0.0	-7.000231	10.690272	1
SGK1	0.1402923	0.10633586	0.12590401051939515	0.39040908	0.3099273607748184	1.8753717	15.927188	1
TNFAIP3	0.1408114	0.09187106	0.10815253122945431	0.5012932	0.4576271186440678	2.4466906	33.610794	1
ABRACL	0.88087666	0.91669184	0.7439184746877054	0.6171227	0.559322033898305	-0.5708031	18.584631	1
CITED2	0.60666233	0.55084664	0.5200525969756739	1.0177794	0.7433414043583535	0.8855821	29.698195	1
PLAGL1	0.5142779	0.5331528	0.5036160420775806	0.3752371	0.38256658595641646	-0.5066329	7.8288846	1
ULBP2	0.11779441	0.12614796	0.14858645627876396	0.056273192	0.07021791767554479	-1.1631788	8.246535	1
PLEKHG1	0.60210776	0.62527734	0.5739644970414202	0.43145227	0.42857142857142855	-0.53519166	10.343564	1
MTHFD1L	0.14546405	0.12755617	0.14792899408284024	0.27737236	0.3075060532687651	1.1200806	9.926166	1
CNKSR3	0.13335116	0.11385774	0.13609467455621302	0.27693808	0.2857142857142857	1.2815852	10.331481	1
ACAT2	0.219839	0.23299325	0.2596975673898751	0.122930616	0.14285714285714285	-0.9218898	9.099509	1
MPC1	0.37593782	0.396916	0.4095989480604865	0.22140343	0.25181598062953997	-0.84186804	13.977965	1
PHF10	0.11730173	0.10043401	0.12130177514792899	0.24154864	0.25907990314769974	1.2652272	9.140085	1
FAM20C	0.041318003	0.04601556	0.0650887573964497	0.0067108814	0.009685230024213076	-2.7593403	15.371707	1
IQCE	0.08291668	0.09021999	0.11012491781722551	0.029131621	0.03389830508474576	-1.6275154	9.94283	1
TTYH3	0.43315038	0.4530116	0.4533201840894149	0.28684446	0.3050847457627119	-0.6590949	10.115407	1
FBXL18	0.123986155	0.13185814	0.15516107823800132	0.06601185	0.0774818401937046	-0.9970995	6.1234474	1
AC060834.2	0.012019035	0.01345995	0.01972386587771203	0.0014066338	0.002421307506053269	-3.1699512	6.7763443	1
