gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
AC006116.8	0.003411653	-7.2759576e-11	0.0	0.003874663	0.005357142857142857	5.312762	1.0556668	0
AC006116.6	0.0021355473	-7.2759576e-11	0.0	0.0024253717	0.0035714285714285713	4.658425	0.80276394	0
AC006116.9	0.0007900458	-7.2759576e-11	0.0	0.00089726626	0.0017857142857142857	3.3179798	0.4979345	0
ZNF582	0.02617744	0.04257555	0.06578947368421052	0.02395196	0.03214285714285714	-0.82725525	0.45005322	0
AC006116.10	0.0008995098	-7.2759576e-11	0.0	0.001021586	0.0017857142857142857	3.4874694	0.49792445	0
AC006116.11	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC006116.4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF582-AS1	0.01959139	0.030928306	0.039473684210526314	0.018052809	0.025	-0.77339214	0.30121773	0
ZNF583	0.0694483	0.04935913	0.06578947368421052	0.07217472	0.09821428571428571	0.54725415	0.46082315	0
ZNF667	0.061612047	0.03630271	0.06578947368421052	0.0650469	0.0875	0.8396505	0.8086115	0
ZNF667-AS1	0.19187035	0.12244863	0.19736842105263158	0.20129193	0.25535714285714284	0.7166515	1.6449956	0
ZNF471	0.02128162	0.014087063	0.013157894736842105	0.022257997	0.03214285714285714	0.65621495	0.2301207	0
AC005498.1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC005498.2	0.0030925532	-7.2759576e-11	0.0	0.0035122568	0.005357142857142857	5.1748295	1.0768671	0
ZFP28	0.045853134	0.028648429	0.039473684210526314	0.048188187	0.06428571428571428	0.7481872	0.52772456	0
AC005498.3	0.0061189556	0.009317461	0.013157894736842105	0.0056849155	0.008928571428571428	-0.7030424	0.14991216	0
ZNF470	0.03765522	0.08041262	0.11842105263157894	0.031852826	0.044642857142857144	-1.3332713	1.1040097	0
ZNF71	0.09241587	0.065308206	0.09210526315789473	0.09609483	0.12142857142857143	0.5564877	0.6042171	0
SMIM17	0.006791921	0.004873645	0.013157894736842105	0.0070521743	0.010714285714285714	0.52407837	0.15329953	0
ZNF835	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC006115.2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZIM2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
PEG3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
MIMT1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
USP29	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZIM3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
DUXA	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF264	0.15043323	0.11814614	0.17105263157894737	0.15481512	0.20357142857142857	0.3896849	0.50164187	0
AURKC	0.002774538	-7.2759576e-11	0.0	0.0031510824	0.0035714285714285713	5.0228496	0.7842029	0
ZNF805	0.07025586	0.12342494	0.17105263157894737	0.06304015	0.08214285714285714	-0.9681726	1.1125544	0
AC005261.3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF460-AS1	0.0011261428	-7.2759576e-11	0.0	0.0012789764	0.0017857142857142857	3.785527	0.4979372	0
ZNF460	0.050986376	0.07352929	0.10526315789473684	0.04792717	0.06428571428571428	-0.61642885	0.46394655	0
AC005261.1	0.21341537	0.2184369	0.3026315789473684	0.21273363	0.275	-0.0381508	0.043476135	0
ZNF543	0.04163344	0.06528251	0.07894736842105263	0.038424022	0.055357142857142855	-0.7631464	0.41371387	0
AC005261.2	0.0008493614	-7.2759576e-11	0.0	0.0009646316	0.0017857142857142857	3.4122834	0.49793062	0
ZNF304	0.02394714	0.027413448	0.05263157894736842	0.02347673	0.03214285714285714	-0.22277339	0.10352356	0
ZNF547	0.013238986	0.010558091	0.013157894736842105	0.013602786	0.017857142857142856	0.36252016	0.10153807	0
TRAPPC2B	0.22384657	0.23756133	0.32894736842105265	0.22198486	0.2839285714285714	-0.09779613	0.13847536	0
ZNF548	0.041810274	0.02896521	0.039473684210526314	0.04355354	0.0625	0.5868053	0.3561582	0
ZNF17	0.028705567	0.007891173	0.013157894736842105	0.031530373	0.04107142857142857	1.9848316	1.6531578	0
ZNF749	0.17186001	0.08612959	0.11842105263157894	0.18349488	0.2392857142857143	1.0902709	2.5066628	0
AC004076.2	0.010794492	0.017439453	0.02631578947368421	0.009892652	0.014285714285714285	-0.8116642	0.24701683	0
VN1R1	0.006146856	0.021567056	0.02631578947368421	0.0040541883	0.005357142857142857	-2.3828647	0.5871158	0
ZNF772	0.019577382	-7.2759576e-11	0.0	0.022234313	0.030357142857142857	7.803119	4.191628	0
AC003005.2	0.001102438	-7.2759576e-11	0.0	0.0012520546	0.0017857142857142857	3.7570825	0.4979278	0
ZNF419	0.033243105	0.06314714	0.10526315789473684	0.02918491	0.0375	-1.110843	0.8064792	0
ZNF773	0.035257403	0.051013116	0.07894736842105263	0.03311916	0.04285714285714286	-0.6216779	0.36813998	0
ZNF549	0.038031783	0.017169388	0.039473684210526314	0.040863156	0.05892857142857143	1.24611	1.2439506	0
ZNF550	0.030888943	0.041376363	0.09210526315789473	0.02946573	0.04107142857142857	-0.48836362	0.32600212	0
ZNF416	0.03204897	0.07546183	0.11842105263157894	0.026157584	0.03571428571428571	-1.5249234	1.2856255	0
ZIK1	0.031385154	0.03551484	0.06578947368421052	0.030824756	0.044642857142857144	-0.20371635	0.10199342	0
ZNF530	0.00812109	0.013066907	0.02631578947368421	0.0074498234	0.008928571428571428	-0.8024017	0.23820256	0
ZNF134	0.124318436	0.12910184	0.18421052631578946	0.123669416	0.1625	-0.06197182	0.055529535	0
AC003682.1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF211	0.03782863	0.07813274	0.11842105263157894	0.032358933	0.04285714285714286	-1.2691568	1.0636113	0
ZSCAN4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF551	0.031021215	0.023534209	0.039473684210526314	0.03203744	0.044642857142857144	0.44337854	0.21901804	0
ZNF154	0.08777578	0.13467377	0.18421052631578946	0.08141121	0.11071428571428571	-0.7254693	0.8293683	0
ZNF671	0.02826285	0.010318707	0.02631578947368421	0.03069818	0.048214285714285716	1.5636688	1.4550029	0
ZNF776	0.06486902	0.06675496	0.10526315789473684	0.06461319	0.08392857142857142	-0.046974715	0.03073116	0
ZNF586	0.039718837	0.070410565	0.07894736842105263	0.035553653	0.05	-0.9837895	0.550593	0
ZNF552	0.037915267	0.030948719	0.05263157894736842	0.038860846	0.05357142857142857	0.32749137	0.19011968	0
ZNF587B	0.04549497	0.04296228	0.06578947368421052	0.045838766	0.06607142857142857	0.093287475	0.049231216	0
ZNF814	0.08498362	0.06276891	0.11842105263157894	0.08799858	0.11964285714285715	0.48677203	0.5453618	0
ZNF587	0.12612215	0.07666419	0.11842105263157894	0.13283433	0.1732142857142857	0.79220843	1.1367968	0
AC010326.3	0.0045774872	-7.2759576e-11	0.0	0.0051987176	0.008928571428571428	5.7275724	1.554674	0
ZNF417	0.024112808	0.023470081	0.039473684210526314	0.024199974	0.033928571428571426	0.043997984	0.017472258	0
