Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	integrin-mediated signaling pathway (GO:0007229)	3/75	6.312137e-03	5.779635e-02	0	0	8.517182e+00	4.314192e+01	ITGB1;ITGA5;PLPP3
GO_Biological_Process_2021	negative regulation of protein tyrosine kinase activity (GO:0061099)	2/24	6.358547e-03	5.779635e-02	0	0	1.843970e+01	9.326719e+01	CAV1;SH3BP5
GO_Biological_Process_2021	regulation of monooxygenase activity (GO:0032768)	2/24	6.358547e-03	5.779635e-02	0	0	1.843970e+01	9.326719e+01	CAV1;CALM1
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	2/24	6.358547e-03	5.779635e-02	0	0	1.843970e+01	9.326719e+01	RAMP2;PXDN
GO_Biological_Process_2021	regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	2/24	6.358547e-03	5.779635e-02	0	0	1.843970e+01	9.326719e+01	MMRN2;ITGA5
GO_Biological_Process_2021	mammary gland development (GO:0030879)	2/24	6.358547e-03	5.779635e-02	0	0	1.843970e+01	9.326719e+01	CAV1;APLN
GO_Biological_Process_2021	cellular response to hormone stimulus (GO:0032870)	3/76	6.547998e-03	5.907750e-02	0	0	8.400085e+00	4.224063e+01	RAMP2;CAV1;LMO2
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	3/77	6.789055e-03	5.950987e-02	0	0	8.286152e+00	4.136815e+01	EGFL7;KDR;APLN
GO_Biological_Process_2021	positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	3/77	6.789055e-03	5.950987e-02	0	0	8.286152e+00	4.136815e+01	FKBP1A;CAV1;LAPTM5
GO_Biological_Process_2021	regulation of cardiac muscle cell action potential (GO:0098901)	2/25	6.889074e-03	5.950987e-02	0	0	1.763709e+01	8.779423e+01	CAV1;CALM1
GO_Biological_Process_2021	regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	2/25	6.889074e-03	5.950987e-02	0	0	1.763709e+01	8.779423e+01	FKBP1A;CALM1
