gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
ARL5B	0.17105389	0.17626567	0.21909190371991247	0.16713886	0.17070633517112244	-0.076659635	0.94001544	0
AL512641.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
MALRD1	0.00074578595	0.00058221567	0.0008205689277899343	0.00087007874	0.0011442837823780298	0.507874	0.35558757	0
AL590378.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL157895.1	4.4639404e-05	0.000103377584	0.00013676148796498905	4.9112714e-09	0.0	-1.0240898	0.49856448	0
AL353147.1	0.0016802489	0.0015211254	0.0017778993435448578	0.0018017753	0.001768438572766046	0.23035108	0.1853309	0
PLXDC2	0.174555	0.13681331	0.15139496717724288	0.20330724	0.1810048892125247	0.57110834	25.297234	1
AC069549.1	0.00016506144	0.00023424791	0.0002735229759299781	0.000112419766	0.00010402579839800271	-0.65400064	0.26525855	0
AC069549.2	0.0008548797	0.0004915515	0.00041028446389496716	0.0011313601	0.001040257983980027	1.0576769	0.69675636	0
NEBL	1.7744014	1.945088	0.9400984682713348	1.6445816	0.8660147716633725	-0.2421014	44.55244	0
C10orf113	0.00020011698	0.0001260833	0.0002735229759299781	0.00025645533	0.0003120773951940081	0.6568669	0.34163004	0
NEBL-AS1	0.027838323	0.025887199	0.03172866520787746	0.029329173	0.03131176531779881	0.17944582	0.7833588	0
LINC02643	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
MIR1915HG	0.1639572	0.18671378	0.23016958424507658	0.14669627	0.15135753666909393	-0.34778556	11.682251	0
SKIDA1	0.088534474	0.09264523	0.11816192560175055	0.08539437	0.08883803183189432	-0.117443696	1.0317291	0
MLLT10	0.22446305	0.22252575	0.2658643326039387	0.22600307	0.2225111827733278	0.022360193	0.22258924	0
AL358780.1	0.0017271125	0.0015124641	0.0020514223194748357	0.0018908681	0.0019764901695620515	0.30413055	0.2608045	0
DNAJC1	0.5197986	0.555901	0.5459518599562363	0.492364	0.4307708311661292	-0.17506933	11.157421	0
AL359697.1	0.0022839454	0.0024217751	0.0031455142231947486	0.0021797398	0.002496619161552065	-0.14557055	0.13482535	0
EBLN1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL157831.2	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL157831.3	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL158211.1	3.7348633e-05	8.648159e-05	0.00013676148796498905	4.9112714e-09	0.0	-0.8989624	0.49852687	0
COMMD3	0.5212158	0.5428215	0.5537472647702407	0.504806	0.44429418495786954	-0.1047289	4.6521397	0
BMI1	0.1499991	0.15788558	0.19816739606126915	0.14402844	0.15239779465307396	-0.13243788	1.9798073	0
AL158211.4	5.1676347e-05	1.2296368e-09	0.0	9.1052694e-05	0.00010402579839800271	0.9339529	0.49862686	0
AL158211.2	0.00022040182	0.00029424866	0.00041028446389496716	0.00016408067	0.00020805159679600541	-0.5781271	0.2736342	0
AL158211.3	0.00017712024	1.2296368e-09	0.0	0.00031178282	0.0003120773951940081	2.041866	1.0234635	0
SPAG6	0.00025300172	0.00021961023	0.0002735229759299781	0.000278248	0.0003120773951940081	0.24301878	0.09295897	0
AL513128.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL513128.3	0.00010215179	0.00010307099	0.00013676148796498905	0.00010156187	0.00010402579839800271	-0.010761435	0.0036292954	0
AL513128.2	0.00013876759	1.2296368e-09	0.0	0.00024429915	0.0003120773951940081	1.7836449	0.8872907	0
PIP4K2A	0.10455236	0.122284554	0.15700218818380743	0.09105169	0.09913658587329657	-0.42508012	10.688108	0
ARMC3	0.00020499405	1.2296368e-09	0.0	0.00036094722	0.00020805159679600541	2.204584	0.70378345	0
AL139815.1	8.265855e-05	6.734637e-05	0.00013676148796498905	9.438083e-05	0.00010402579839800271	0.21604864	0.08852207	0
MSRB2	0.84154665	0.8747054	0.7323577680525164	0.8163385	0.6219702486216582	-0.09961794	7.806013	0
PTF1A	5.8026337e-05	1.2296368e-09	0.0	0.000102224316	0.00010402579839800271	1.0159386	0.49854657	0
C10orf67	0.00042273942	0.00057219603	0.0006838074398249453	0.00030886798	0.00041610319359201083	-0.71724695	0.39336857	0
AL606469.1	0.0013309355	0.0018024157	0.002461706783369803	0.00097311725	0.0012483095807760325	-0.8260248	0.93373775	0
OTUD1	0.046647355	0.045824084	0.05908096280087528	0.04726246	0.04930822844065328	0.044493012	0.1847462	0
AL512603.2	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL512603.1	9.090911e-05	1.2296368e-09	0.0	0.00016006615	0.00020805159679600541	1.378861	0.7748079	0
KIAA1217	0.045015294	0.04934288	0.06455142231947483	0.04171367	0.04660355768230521	-0.24178807	1.8428091	0
AL356113.1	0.0022872437	0.0027344318	0.0030087527352297594	0.0019478936	0.002184541766358057	-0.4689188	0.4858135	0
ARHGAP21	0.21275818	0.23147021	0.27297592997811815	0.19859958	0.19858524914178716	-0.2208609	6.3532186	0
AL157385.2	0.00013974067	1.2296368e-09	0.0	0.00024601523	0.00010402579839800271	1.7908179	0.49826926	0
PRTFDC1	0.08165001	0.08686248	0.11214442013129103	0.077669255	0.08561323208155623	-0.16119319	1.590043	0
AL512598.1	0.004893383	0.0049990956	0.006427789934354486	0.004813289	0.005617393113492146	-0.053552363	0.0677324	0
ENKUR	0.00047347444	0.00026852012	0.00041028446389496716	0.00062934845	0.0006241547903880162	0.98486483	0.5551352	0
THNSL1	0.027926045	0.029452406	0.037882932166301966	0.026774403	0.029023197753042754	-0.1370429	0.55580354	0
LINC01516	5.2525626e-05	0.000121653524	0.00013676148796498905	4.9112714e-09	0.0	-1.1482354	0.49857908	0
GPR158-AS1	0.00090743887	0.0015714073	0.002324945295404814	0.00040284812	0.00041610319359201083	-1.7328687	2.0656738	0
