gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
LINC01672	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL591163.1	0.00059974066	0.0007577063	0.0010940919037199124	0.00035485055	0.0004238186056367875	-0.9150911	0.5488988	0
CAMTA1-DT	0.0011209828	0.0008305963	0.0010940919037199124	0.0015708505	0.0014833651197287562	0.8443552	0.56260866	0
CAMTA1	1.23472	1.2752808	0.8677516411378556	1.1718742	0.794447976266158	-0.12198735	15.274735	0
AL512330.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
CAMTA1-IT1	0.00086610246	0.00057158666	0.0006838074398249453	0.001322288	0.0014833651197287562	1.0825679	0.7193466	0
Z97987.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL365194.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL359881.3	0.00018206547	0.00015446811	0.00013676148796498905	0.00022493847	0.0004238186056367875	0.3526817	0.124589756	0
AL359881.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL359881.1	6.317344e-05	1.2296368e-09	0.0	0.00016105027	0.00021190930281839374	1.38431	0.498515	0
VAMP3	0.41106984	0.43372226	0.4655361050328228	0.37604272	0.36554354736172917	-0.20582394	8.337734	0
Z98884.2	0.0002923776	0.0003851661	0.0005470459518599562	0.00014867453	0.00021190930281839374	-0.9642199	0.46333507	0
PER3	0.055881467	0.061335433	0.07768052516411379	0.047420386	0.049798686162322525	-0.37052444	3.133373	0
Z98884.1	0.00012895107	1.2296368e-09	0.0	0.0003288036	0.0004238186056367875	2.1002994	0.784972	0
UTS2	6.0410275e-05	9.9387e-05	0.00013676148796498905	-5.4351403e-09	0.0	-0.99564976	0.49852633	0
TNFRSF9	0.000114997376	0.00018928031	0.0002735229759299781	-5.4351403e-09	0.0	-1.5325465	0.7761189	0
PARK7	1.4172575	1.4316597	0.8966083150984683	1.3949516	0.8626827717736809	-0.037470907	2.4585345	0
AL034417.4	0.0009936772	0.0010708615	0.0012308533916849016	0.000873953	0.0010595465140919686	-0.26564625	0.14142632	0
AL034417.3	0.00081432593	0.00078809884	0.0009573304157549234	0.0008549483	0.0004238186056367875	0.1047024	0.032937	0
ERRFI1	0.017985053	0.01662882	0.02160831509846827	0.0200795	0.020555202373384193	0.2705547	0.70691156	0
AL034417.2	0.0005266129	0.000463486	0.0008205689277899343	0.00062424474	0.0006357279084551812	0.36209756	0.1548037	0
LINC01714	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL358876.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
SLC45A1	0.0035350088	0.0034941293	0.005060175054704595	0.003598981	0.0042381860563678745	0.041485537	0.037311796	0
RERE	0.5812092	0.5874753	0.5666028446389497	0.5715418	0.5051917779190507	-0.03966233	0.7895208	0
RERE-AS1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL357552.2	9.3996765e-05	5.5362216e-05	0.00013676148796498905	0.00015389759	0.00021190930281839374	0.7086111	0.26212928	0
