gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0AC302C73	WNT5B	0.0	0.014	0.043	0.053	0.109
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0F41AC8EC	WNT7A	0.0	0.001	0.011	0.0	0.0
WNT8A	Q9H1J5	False	WNT8A_HUMAN		CPI-SS029E5DD2D	WNT8A	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS01503DD69	CD44	0.069	0.046	0.095	0.086	0.212
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.0	1.354	0.063	0.055	0.151
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	PTPRC	0.0	0.001	0.001	0.001	0.0
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0F9F83827	PTPRD	0.0	0.175	0.265	0.525	0.34
TRH	P20396	False	TRH_HUMAN		CPI-SS00F69C501	TRH	0.0	0.005	0.0	0.003	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TREM2	0.0	0.0	0.001	0.0	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TREM2	0.0	0.0	0.001	0.0	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC06C75F978	TREM2	0.0	0.0	0.001	0.0	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TREM2	0.0	0.0	0.001	0.0	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TYROBP	0.0	0.0	0.001	0.0	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TYROBP	0.0	0.0	0.001	0.0	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC06C75F978	TYROBP	0.0	0.0	0.001	0.0	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TYROBP	0.0	0.0	0.001	0.0	0.0
CHRNA7	P36544	True	ACHA7_HUMAN	nAChR_a7_complex	CPI-CC0A4E09DEF	CHRNA7	0.0	0.026	0.047	0.01	0.005
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	SELE	0.0	0.001	0.0	0.003	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.07	0.087	0.153	0.389	0.338
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0C0329180	NRXN3	0.07	0.087	0.153	0.389	0.338
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.07	0.087	0.153	0.389	0.338
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.07	0.087	0.153	0.389	0.338
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0731F750C	NRXN3	0.07	0.087	0.153	0.389	0.338
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F9118AB4	NRXN3	0.07	0.087	0.153	0.389	0.338
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0837C7966	NRXN3	0.07	0.087	0.153	0.389	0.338
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.0	0.112	0.09	0.391	0.864
CHRM2	P08172	False	ACM2_HUMAN		CPI-CS09DCE99A5	CHRM2	0.0	0.021	0.014	0.199	0.117
CHRM2	P08172	False	ACM2_HUMAN		CPI-CS0DBFDDA4A	CHRM2	0.0	0.021	0.014	0.199	0.117
CHRM3	P20309	False	ACM3_HUMAN		CPI-CS088613CD3	CHRM3	0.0	0.923	0.055	0.052	0.023
CHRM3	P20309	False	ACM3_HUMAN		CPI-CS08FB3D7C0	CHRM3	0.0	0.923	0.055	0.052	0.023
CHRM5	P08912	False	ACM5_HUMAN		CPI-CS08ED696DC	CHRM5	0.0	0.007	0.008	0.011	0.008
CHRM5	P08912	False	ACM5_HUMAN		CPI-CS067CF9C74	CHRM5	0.0	0.007	0.008	0.011	0.008
CHRNA7	P36544	False	ACHA7_HUMAN		CPI-CS0C5C5E217	CHRNA7	0.0	0.026	0.047	0.01	0.005
